資料日期,基金代號,單位淨值,發行單位數,總淨值
"1130624",="00791B","56.269","253,600,000","14,269,806,190"
"1130624",="00790B","55.688","2,100,000","116,944,140"
"1130624",="00789B","52.849","278,100,000","14,697,329,826"
"1130624",="00788B","32.152","35,206,000","1,131,932,517"
"1130624",="00787B","34.665","16,306,000","565,242,889"
"1130624",="00786B","34.296","37,566,000","1,288,376,035"
"1130624",="00785B","36.217","961,966,000","34,839,832,404"
"1130624",="00784B","38.718","2,993,000","115,884,037"
"1130624",="00782B","33.192","21,967,000","729,126,532"
"1130624",="00781B","32.72","5,836,000","190,954,331"
"1130624",="00780B","37.506","238,102,000","8,930,312,632"
"1130624",="00779B","31.542","878,650,000","27,714,378,067"
"1130624",="00778B","36.563","1,394,150,000","50,973,752,619"
"1130624",="00777B","35.279","1,653,150,000","58,321,836,836"
"1130624",="00773B","37.169","2,306,790,000","85,741,004,626"
"1130624",="00772B","35.835","3,775,790,000","135,306,327,060"
"1130624",="00768B","55.93","334,600,000","18,714,128,960"
"1130624",="00764B","31.619","1,049,000,000","33,168,754,301"
"1130624",="00761B","37.086","2,575,589,000","95,518,711,579"
"1130624",="00760B","55.21","437,520,000","24,154,731,572"
"1130624",="00759B","57.69","48,025,000","2,770,586,342"
"1130624",="00758B","53.61","5,525,000","296,208,871"
"1130624",="00756B","33.126","1,318,300,000","43,669,660,509"
"1130624",="00755B","34.731","179,730,000","6,242,266,012"
"1130624",="00754B","36.767","1,052,900,000","38,712,016,192"
"1130624",="00751B","34.536","4,594,103,000","158,661,602,396"
"1130624",="00750B","35.785","126,000,000","4,508,865,870"
"1130624",="00749B","32.39","952,000,000","30,834,955,013"
"1130624",="00746B","37.243","2,430,964,000","90,535,921,955"
"1130624",="00741B","38.845","11,628,000","451,686,273"
"1130624",="00740B","40.971","1,269,471,000","52,011,857,742"
"1130624",="00734B","15.88","33,979,000","539,681,005"
"1130624",="00727B","40.101","95,689,000","3,837,236,595"
"1130624",="00726B","34.492","1,174,489,000","40,509,935,213"
"1130624",="00725B","37.963","2,689,206,000","102,089,962,393"
"1130624",="00724B","35.229","2,789,275,000","98,263,518,992"
"1130624",="00723B","34.371","1,580,583,000","54,325,724,445"
"1130624",="00722B","39.258","1,325,239,000","52,025,838,863"
"1130624",="00721B","47.056","4,622,000","217,493,940"
"1130624",="00720B","35.735","4,103,609,000","146,643,196,217"
"1130624",="00719B","31.758","393,014,000","12,481,235,845"
"1130624",="00697B","35.983","33,712,000","1,213,052,996"
"1130624",="00696B","32.322","1,114,181,000","36,012,032,255"
"1130624",="00695B","35.641","35,186,000","1,254,067,455"
"1130624",="00694B","41.385","194,076,000","8,031,896,810"
"1130624",="00687B","31.242","5,265,287,000","164,499,704,047"
"1130624",="00679B","30.015","7,528,692,000","225,974,449,055"
"1130621",="00928","18.4","24,856,000","457,231,478"
"1130621",="00888","17.71","453,478,000","8,032,751,294"
"1130621",="00877","11.6","282,288,000","3,275,128,639"
"1130621",="00718B","20.746","483,501,000","10,030,789,181"
"1130621",="006201","23.81","14,946,000","355,868,257"
"1130621",="00948B","10.082","866,927,000","8,740,685,043"
"1130621",="00942B","15.742","569,959,000","8,972,404,371"
"1130621",="00937B","16.077","10,370,805,000","166,730,792,960"
"1130621",="00933B","16.995","3,297,958,000","56,047,124,196"
"1130621",="00931B","15.176","1,799,898,000","27,314,405,721"
"1130621",="00890B","34.903","23,264,000","811,979,083"
"1130621",="00887","10.56","44,851,000","473,573,836"
"1130621",="00886","33.72","8,451,000","284,977,742"
"1130621",="00884B","31.327","68,940,000","2,159,676,196"
"1130621",="00883B","33.174","9,758,000","323,715,666"
"1130621",="00870B","30.355","524,651,000","15,925,685,403"
"1130621",="00867B","33.916","729,650,000","24,746,951,042"
"1130621",="00864B","45.648","122,722,000","5,601,956,432"
"1130621",="00863B","34.853","468,464,000","16,327,220,992"
"1130621",="00862B","33.984","614,881,000","20,896,018,110"
"1130621",="00860B","38.733","4,671,000","180,923,048"
"1130621",="00859B","42.531","4,511,000","191,854,880"
"1130621",="00858","32.95","21,874,000","720,844,517"
"1130621",="00857B","26.388","688,768,000","18,175,105,994"
"1130621",="00856B","39.085","8,292,000","324,091,457"
"1130621",="00853B","30.068","65,634,000","1,973,460,326"
"1130621",="00849B","37.384","526,106,000","19,668,112,314"
"1130621",="00848B","35.869","206,066,000","7,391,391,230"
"1130621",="00847B","28.343","11,305,000","320,417,174"
"1130621",="00846B","35.968","74,350,000","2,674,181,606"
"1130621",="00845B","33.507","201,551,000","6,753,445,822"
"1130621",="00844B","33.753","213,675,000","7,212,138,965"
"1130621",="00842B","33.84","9,767,000","330,558,730"
